gender,age,emotion
"{'Woman': 99.99217987060547, 'Man': 0.007813904085196555}",27,neutral
"{'Woman': 99.99196529388428, 'Man': 0.008038993837544695}",27,neutral
"{'Woman': 99.98675584793091, 'Man': 0.01324822660535574}",27,neutral
"{'Woman': 99.9935507774353, 'Man': 0.00644708561594598}",28,neutral
"{'Woman': 99.9955415725708, 'Man': 0.004457149043446407}",27,neutral
"{'Woman': 99.99346733093262, 'Man': 0.006536189903272316}",27,neutral
"{'Woman': 99.98761415481567, 'Man': 0.012385727313812822}",28,neutral
"{'Woman': 99.98873472213745, 'Man': 0.011262702173553407}",28,neutral
"{'Woman': 99.98506307601929, 'Man': 0.014932520571164787}",27,neutral
"{'Woman': 99.99277591705322, 'Man': 0.007224800356198102}",28,neutral
"{'Woman': 99.98354911804199, 'Man': 0.016453683201689273}",27,neutral
"{'Woman': 99.98427629470825, 'Man': 0.015718740178272128}",28,neutral
"{'Woman': 99.98419284820557, 'Man': 0.015805024304427207}",29,neutral
"{'Woman': 99.97743964195251, 'Man': 0.022556769545190036}",28,neutral
"{'Woman': 99.99222755432129, 'Man': 0.0077713695645798}",28,neutral
"{'Woman': 99.98868703842163, 'Man': 0.011308977263979614}",28,neutral
"{'Woman': 99.98966455459595, 'Man': 0.010339502478018403}",27,neutral
"{'Woman': 99.97848868370056, 'Man': 0.02151487278752029}",27,neutral
"{'Woman': 99.98144507408142, 'Man': 0.018555701535660774}",28,neutral
"{'Woman': 99.98800754547119, 'Man': 0.01199072357849218}",28,neutral
"{'Woman': 99.97568726539612, 'Man': 0.024317628412973136}",29,neutral
"{'Woman': 99.95982050895691, 'Man': 0.040176414768211544}",29,neutral
"{'Woman': 99.98621940612793, 'Man': 0.013779436994809657}",28,neutral
"{'Woman': 99.97809529304504, 'Man': 0.02190258528571576}",27,neutral
"{'Woman': 99.97981190681458, 'Man': 0.020194721582811326}",28,neutral
"{'Woman': 99.97692704200745, 'Man': 0.023077325022313744}",28,neutral
"{'Woman': 99.98681545257568, 'Man': 0.013181126269046217}",28,neutral
"{'Woman': 99.9779999256134, 'Man': 0.0219956724322401}",28,neutral
"{'Woman': 99.99263286590576, 'Man': 0.007361092139035463}",30,neutral
"{'Woman': 99.99426603317261, 'Man': 0.005728305040975101}",28,neutral
"{'Woman': 99.98313188552856, 'Man': 0.016862958727870136}",27,neutral
"{'Woman': 99.99439716339111, 'Man': 0.005598242569249123}",28,neutral
"{'Woman': 99.9819815158844, 'Man': 0.01802085025701672}",27,neutral
"{'Woman': 99.98723268508911, 'Man': 0.01276316907024011}",27,neutral
"{'Woman': 99.98682737350464, 'Man': 0.013168362784199417}",28,neutral
"{'Woman': 99.99550580978394, 'Man': 0.004491599611355923}",29,neutral
"{'Woman': 99.98620748519897, 'Man': 0.013792805839329958}",29,neutral
"{'Woman': 99.99239444732666, 'Man': 0.0076019496191293}",28,neutral
"{'Woman': 99.99364614486694, 'Man': 0.006354400102281943}",28,neutral
"{'Woman': 99.99511241912842, 'Man': 0.0048875255743041635}",30,neutral
"{'Woman': 99.96306896209717, 'Man': 0.03693034523166716}",30,neutral
"{'Woman': 99.99101161956787, 'Man': 0.008982166036730632}",30,neutral
"{'Woman': 99.99291896820068, 'Man': 0.007082354568410665}",29,neutral
"{'Woman': 99.99181032180786, 'Man': 0.008192940731532872}",30,neutral
"{'Woman': 99.99432563781738, 'Man': 0.005676407090504654}",28,neutral
"{'Woman': 99.98478889465332, 'Man': 0.015203825023490936}",29,neutral
"{'Woman': 99.98551607131958, 'Man': 0.014479788660537452}",29,neutral
"{'Woman': 99.9829649925232, 'Man': 0.017027618014253676}",29,neutral
"{'Woman': 99.99135732650757, 'Man': 0.00864701287355274}",28,neutral
"{'Woman': 99.9922513961792, 'Man': 0.00774708460085094}",30,neutral
"{'Woman': 99.98551607131958, 'Man': 0.014485906285699457}",28,neutral
"{'Woman': 99.98897314071655, 'Man': 0.011022159742424265}",27,neutral
"{'Woman': 99.9887228012085, 'Man': 0.011279952741460875}",28,neutral
"{'Woman': 99.98713731765747, 'Man': 0.012861602590419352}",27,neutral
"{'Woman': 99.994957447052, 'Man': 0.005040967516833916}",28,neutral
"{'Woman': 99.97416138648987, 'Man': 0.025839635054580867}",28,neutral
"{'Woman': 99.98856782913208, 'Man': 0.011431811435613781}",28,neutral
"{'Woman': 99.98589754104614, 'Man': 0.014094838115852326}",28,neutral
"{'Woman': 99.98199343681335, 'Man': 0.018014511442743242}",28,neutral
"{'Woman': 99.96869564056396, 'Man': 0.03130864934064448}",28,neutral
"{'Woman': 99.98273849487305, 'Man': 0.01725544425426051}",28,neutral
"{'Woman': 99.98377561569214, 'Man': 0.016220456745941192}",28,neutral
"{'Woman': 99.98005032539368, 'Man': 0.019955154857598245}",28,neutral
"{'Woman': 99.97996687889099, 'Man': 0.020034423505421728}",29,neutral
"{'Woman': 99.98111128807068, 'Man': 0.01889525301521644}",29,neutral
"{'Woman': 99.98142123222351, 'Man': 0.01857728057075292}",28,neutral
"{'Woman': 99.96622800827026, 'Man': 0.033766732667572796}",28,neutral
"{'Woman': 99.97089505195618, 'Man': 0.029100192477926612}",26,neutral
"{'Woman': 99.99196529388428, 'Man': 0.00803734510554932}",26,neutral
"{'Woman': 99.96826648712158, 'Man': 0.031737564131617546}",28,neutral
"{'Woman': 99.98319149017334, 'Man': 0.016802594473119825}",28,neutral
"{'Woman': 99.98621940612793, 'Man': 0.013779016444459558}",29,neutral
"{'Woman': 99.98181462287903, 'Man': 0.018184760119765997}",27,neutral
"{'Woman': 99.99018907546997, 'Man': 0.00980871482170187}",28,neutral
